Company_Phone_Number,Created_Date,Violation_Date,Consumer_City,Consumer_State,Subject,Recorded_Message_Or_Robocall
8324545489,2018-03-05 00:01:24,2018-01-30 14:18:00,Austin,Texas,Home improvement  & cleaning,Y
2536201454,2018-03-05 00:02:02,2018-02-20 15:24:00,Sparks,Nevada,Computer  & technical support,Y
8324954380,2018-03-05 00:02:19,2018-03-02 08:39:00,,Texas,No Subject Provided,N
9254380505,2018-03-05 00:02:38,2018-03-04 18:00:00,pittsburg,California,No Subject Provided,Y
4433966115,2018-03-05 00:05:46,2018-03-04 17:26:00,Austin,Texas,Dropped call or no message,Y
2106642622,2018-03-05 00:06:26,2018-03-02 12:53:00,watertown,New York,Other,Y
3235620790,2018-03-05 00:21:12,2018-03-02 10:02:00,Sherman Oaks,California,No Subject Provided,Y
3235620790,2018-03-05 00:21:15,2018-03-02 10:02:00,Sherman Oaks,California,No Subject Provided,Y
7023318335,2018-03-05 00:23:42,2018-03-04 19:18:00,Las Vegas,Nevada,Charities,N
4063184485,2018-03-05 00:24:00,2018-03-02 12:43:00,Sherman Oaks,California,No Subject Provided,Y
4063184485,2018-03-05 00:26:00,2018-03-02 00:00:00,Sherman Oaks,California,No Subject Provided,Y
9516809152,2018-03-05 00:27:46,2018-03-01 19:10:00,MURRIETA,California,No Subject Provided,Y
9516809152,2018-03-05 00:27:49,2018-03-01 19:10:00,MURRIETA,California,No Subject Provided,Y
9516809152,2018-03-05 00:27:50,2018-03-01 19:10:00,MURRIETA,California,No Subject Provided,Y
9516809152,2018-03-05 00:27:51,2018-03-01 19:10:00,MURRIETA,California,No Subject Provided,Y
5157078002,2018-03-05 00:29:05,2018-03-05 00:26:00,Albany,New York,No Subject Provided,N
5157078002,2018-03-05 00:29:08,2018-03-05 00:26:00,Albany,New York,No Subject Provided,N
9169280015,2018-03-05 00:29:21,2018-03-04 17:52:00,,California,Dropped call or no message,N
4088362468,2018-03-05 00:30:44,2018-03-04 09:47:00,San Jose,California,No Subject Provided,Y
8184834624,2018-03-05 00:30:47,2018-02-28 11:46:00,Sherman Oaks,California,No Subject Provided,Y
5183316321,2018-03-05 00:31:14,2018-03-02 11:44:00,Albany,New York,No Subject Provided,N
9167158418,2018-03-05 00:31:26,2018-03-02 12:06:00,,California,Dropped call or no message,N
9254380505,2018-03-05 00:33:17,2018-03-04 19:05:00,Danville,California,No Subject Provided,N
8009220204,2018-03-05 00:45:26,2018-03-04 22:38:00,,Colorado,"Calls pretending to be government, businesses, or family and friends",Y
8883405111,2018-03-05 00:48:29,2018-03-04 12:46:00,New York,New York,"Calls pretending to be government, businesses, or family and friends",N
8883405111,2018-03-05 00:50:06,2018-03-03 10:49:00,New York,New York,"Calls pretending to be government, businesses, or family and friends",N
7075023209,2018-03-05 00:50:52,2018-03-03 21:45:00,Santa Rosa,California,Other,Y
8045865780,2018-03-05 00:51:13,2018-02-28 16:15:00,Roseville,Minnesota,Dropped call or no message,Y
6052067013,2018-03-05 00:54:12,2018-02-21 15:47:00,Roseville,Minnesota,Medical  & prescriptions,Y
6026061470,2018-03-05 00:59:35,2018-03-04 10:23:00,,Texas,"Calls pretending to be government, businesses, or family and friends",Y
3102100250,2018-03-05 01:00:10,2018-03-03 14:35:00,San Carlos,California,"Calls pretending to be government, businesses, or family and friends",Y
6104616575,2018-03-05 01:01:15,2018-02-22 16:42:00,Roseville,Minnesota,Dropped call or no message,Y
4803668477,2018-03-05 01:01:29,2018-03-03 18:49:00,,Texas,"Calls pretending to be government, businesses, or family and friends",Y
6516367748,2018-03-05 01:03:10,2018-02-19 13:33:00,Roseville,Minnesota,Dropped call or no message,Y
9072571900,2018-03-05 01:03:32,2018-03-03 17:37:00,,Texas,"Calls pretending to be government, businesses, or family and friends",Y
4803668477,2018-03-05 01:05:06,2018-03-03 18:49:00,,Texas,"Calls pretending to be government, businesses, or family and friends",Y
6092790110,2018-03-05 01:05:44,2018-03-04 18:21:00,,Wisconsin,No Subject Provided,N
7032367970,2018-03-05 01:06:36,2018-03-03 10:46:00,,Texas,"Calls pretending to be government, businesses, or family and friends",Y
7472125914,2018-03-05 01:09:58,2018-03-04 10:23:00,,Texas,"Calls pretending to be government, businesses, or family and friends",Y
6025135497,2018-03-05 01:12:49,2018-03-04 17:10:00,Kingman,Arizona,No Subject Provided,N
6504231515,2018-03-05 01:14:28,2018-03-04 13:26:00,San Carlos,California,"Calls pretending to be government, businesses, or family and friends",Y
6025135497,2018-03-05 01:14:40,2018-03-04 10:24:00,Kingman,Arizona,No Subject Provided,N
7012712919,2018-03-05 01:16:25,2018-03-03 18:59:00,,North Dakota,Other,N
7012712900,2018-03-05 01:19:49,2018-03-03 18:59:00,,North Dakota,Other,N
2066417410,2018-03-05 01:30:24,2018-03-04 17:30:00,,Washington,Other,N
3109541105,2018-03-05 01:50:54,2018-02-01 10:00:00,Torrance,California,No Subject Provided,N
2083681822,2018-03-05 01:59:37,2018-03-03 00:00:00,,Idaho,No Subject Provided,Y
